Year,Age,Female,Male,Total
2016-2018,0,0.00427,0.00477,0.00453
2016-2018,1,0.00023,0.00028,0.00025
2016-2018,2,0.00017,0.0002,0.00018
2016-2018,3,0.00013,0.00015,0.00014
2016-2018,4,0.00011,0.00012,0.00011
2016-2018,5,0.00009,0.0001,0.00009
2016-2018,6,0.00008,0.00009,0.00008
2016-2018,7,0.00007,0.00008,0.00008
2016-2018,8,7.00E-05,0.00008,0.00007
2016-2018,9,7.00E-05,0.00008,0.00008
2016-2018,10,8.00E-05,0.00009,0.00008
2016-2018,11,8.00E-05,0.0001,0.00009
2016-2018,12,0.00009,0.00011,0.0001
2016-2018,13,0.00011,0.00014,0.00013
2016-2018,14,0.00013,0.00018,0.00016
2016-2018,15,0.00016,0.00025,0.00021
2016-2018,16,0.0002,0.00033,0.00027
2016-2018,17,0.00024,0.00042,0.00033
2016-2018,18,0.00027,0.00051,0.00039
2016-2018,19,0.00029,0.0006,0.00045
2016-2018,20,0.00032,0.00068,0.00051
2016-2018,21,0.00034,0.00075,0.00055
2016-2018,22,0.00036,0.00081,0.00059
2016-2018,23,0.00037,0.00086,0.00062
2016-2018,24,0.00038,0.00088,0.00064
2016-2018,25,0.00039,0.0009,0.00065
2016-2018,26,0.0004,0.00092,0.00067
2016-2018,27,0.00041,0.00094,0.00069
2016-2018,28,0.00043,0.00097,0.00071
2016-2018,29,0.00045,0.001,0.00073
2016-2018,30,0.00047,0.00103,0.00076
2016-2018,31,0.0005,0.00107,0.00079
2016-2018,32,0.00052,0.0011,0.00081
2016-2018,33,0.00054,0.00113,0.00083
2016-2018,34,0.00056,0.00115,0.00085
2016-2018,35,0.00057,0.00116,0.00087
2016-2018,36,0.00059,0.00118,0.00088
2016-2018,37,0.00062,0.00121,0.00091
2016-2018,38,0.00066,0.00126,0.00096
2016-2018,39,0.00071,0.00132,0.00101
2016-2018,40,0.00077,0.0014,0.00109
2016-2018,41,0.00085,0.0015,0.00117
2016-2018,42,0.00094,0.0016,0.00127
2016-2018,43,0.00103,0.00172,0.00137
2016-2018,44,0.00113,0.00184,0.00149
2016-2018,45,0.00124,0.00198,0.00161
2016-2018,46,0.00135,0.00214,0.00174
2016-2018,47,0.00148,0.00231,0.00189
2016-2018,48,0.00161,0.0025,0.00205
2016-2018,49,0.00175,0.00271,0.00223
2016-2018,50,0.0019,0.00295,0.00242
2016-2018,51,0.00206,0.00321,0.00263
2016-2018,52,0.00224,0.00349,0.00286
2016-2018,53,0.00244,0.00381,0.00312
2016-2018,54,0.00265,0.00415,0.0034
2016-2018,55,0.00289,0.00453,0.00371
2016-2018,56,0.00315,0.00494,0.00405
2016-2018,57,0.00344,0.0054,0.00442
2016-2018,58,0.00376,0.0059,0.00483
2016-2018,59,0.00412,0.00646,0.00528
2016-2018,60,0.00451,0.00707,0.00578
2016-2018,61,0.00494,0.00774,0.00633
2016-2018,62,0.00543,0.00848,0.00694
2016-2018,63,0.00596,0.0093,0.00761
2016-2018,64,0.00655,0.01021,0.00836
2016-2018,65,0.00721,0.01121,0.00918
2016-2018,66,0.00795,0.01231,0.01009
2016-2018,67,0.00876,0.01354,0.0111
2016-2018,68,0.00968,0.0149,0.01222
2016-2018,69,0.01069,0.0164,0.01346
2016-2018,70,0.01183,0.01807,0.01484
2016-2018,71,0.0131,0.01992,0.01637
2016-2018,72,0.01451,0.02197,0.01808
2016-2018,73,0.0161,0.02425,0.01997
2016-2018,74,0.01788,0.02679,0.02208
2016-2018,75,0.01988,0.02961,0.02443
2016-2018,76,0.02212,0.03275,0.02705
2016-2018,77,0.02464,0.03624,0.02998
2016-2018,78,0.02747,0.04013,0.03324
2016-2018,79,0.03066,0.04447,0.03689
2016-2018,80,0.03425,0.04931,0.04096
2016-2018,81,0.0383,0.05472,0.04552
2016-2018,82,0.04287,0.06075,0.05063
2016-2018,83,0.04804,0.06749,0.05634
2016-2018,84,0.05388,0.07504,0.06275
2016-2018,85,0.06049,0.08348,0.06994
2016-2018,86,0.06798,0.09292,0.078
2016-2018,87,0.07647,0.10351,0.08706
2016-2018,88,0.0861,0.11537,0.09724
2016-2018,89,0.09705,0.12868,0.10869
2016-2018,90,0.1095,0.14362,0.12158
2016-2018,91,0.12333,0.15998,0.13577
2016-2018,92,0.1383,0.1774,0.15098
2016-2018,93,0.1544,0.19582,0.16721
2016-2018,94,0.17162,0.21517,0.18442
2016-2018,95,0.19104,0.23558,0.20323
2016-2018,96,0.21045,0.25607,0.22215
2016-2018,97,0.23088,0.2772,0.24191
2016-2018,98,0.25219,0.2988,0.26239
2016-2018,99,0.27423,0.3207,0.28344
2016-2018,100,0.29681,0.34271,0.30492
2016-2018,101,0.31974,0.36464,0.32663
2016-2018,102,0.34281,0.3863,0.3484
2016-2018,103,0.36578,0.40751,0.37004
2016-2018,104,0.38844,0.4281,0.39137
2016-2018,105,0.41059,0.44794,0.41223
2016-2018,106,0.43205,0.46689,0.43245
2016-2018,107,0.45264,0.48488,0.4519
2016-2018,108,0.47224,0.50181,0.47046
2016-2018,109,0.49074,0.51765,0.48806
