,BUP_NI,MET_NI,REL1_NI,REL_NI,OD_NI,ABS_NI,BUP_INJ,MET_INJ,REL1_INJ,REL_INJ,OD_INJ,ABS_INJ
BUP_NI,0,0,0,0,0,0,0,0,0,0,0,0
MET_NI,0,0,0.7207,0,0.0091,0.2702,0,0,0,0,0,0
REL1_NI,0,0.09283191,0,0.896069084,0.011099005,0,0,0,0,0,0,0
REL_NI,0,0.612976319,0,0,0.387023681,0,0,0,0,0,0,0
OD_NI,0,0.0121,0.7845,0,0,0.2034,0,0,0,0,0,0
ABS_NI,0,0,0.806363636,0,0.193636364,0,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0,0,0,0,0
MET_INJ,0,0,0,0,0,0,0,0,0.7151,0,0.0167,0.2682
REL1_INJ,0,0,0,0,0,0,0,0.0724,0,0.9133,0.0143,0
REL_INJ,0,0,0,0,0,0,0,0.4549,0,0,0.5451,0
OD_INJ,0,0,0,0,0,0,0,0.0124,0.7843,0,0,0.2033
ABS_INJ,0,0,0,0,0,0,0,0,0.7273,0,0.2727,0
