,BUP_NI,BUPC_NI,MET_NI,METC_NI,REL_NI,ABS_NI,BUP_INJ,BUPC_INJ,MET_INJ,METC_INJ,REL_INJ,ABS_INJ
BUP_NI,0,0.517241379,0.034482759,0,0.137931034,0.310344828,0,0,0,0,0,0
BUPC_NI,0.65,0,0,0.05,0.15,0.15,0,0,0,0,0,0
MET_NI,0.055555556,0,0,0.444444444,0.222222222,0.277777778,0,0,0,0,0,0
METC_NI,0,0.086956522,0.695652174,0,0.173913043,0.043478261,0,0,0,0,0,0
REL_NI,0.25,0.25,0,0.375,0,0.125,0,0,0,0,0,0
ABS_NI,0.181818182,0,0.090909091,0.090909091,0.636363636,0,0,0,0,0,0,0
ODN_NI,0.25,0.25,0,0.375,0,0.125,0,0,0,0,0,0
BUP_INJ,0,0,0,0,0,0,0,0.5,0,0.071428571,0.214285714,0.214285714
BUPC_INJ,0,0,0,0,0,0,0.263157895,0,0,0.157894737,0.315789474,0.263157895
MET_INJ,0,0,0,0,0,0,0,0,0,0.714285714,0.142857143,0.142857143
METC_INJ,0,0,0,0,0,0,0,0,0.266666667,0,0.533333333,0.2
REL_INJ,0,0,0,0,0,0,0.055555556,0.194444444,0.055555556,0.611111111,0,0.083333333
ABS_INJ,0,0,0,0,0,0,0.25,0.083333333,0.166666667,0.083333333,0.416666667,0
ODN_INJ,0,0,0,0,0,0,0.055555556,0.194444444,0.055555556,0.611111111,0,0.083333333
